model,family,repeat,start_utc,end_utc,device,measurement_type,window_seconds_requested,window_seconds_actual,inferences,batch_size,images_processed,latency_ms_per_inference,latency_ms_per_image,mean_power_W,total_window_energy_J,energy_J_per_inference,energy_J_per_image,parsed_power_samples,power_note,raw_power_log,warmup_trials,cooldown_seconds,params,params_M,macs,macs_G,flops,flops_G
mobilenetv2,paper_model,3,2026-05-15T05:30:19.315879+00:00,2026-05-15T05:30:24.342201+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.019696,1255,8,10040,3.999758,0.49997,90.7576,455.575588917,0.363008437,0.045376055,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\015_mobilenetv2_repeat3_nvidia-smi.txt,10,2.0,3504872,3.504872,2406194176,2.406194,4812388352,4.812388
mobilenetv2,paper_model,4,2026-05-15T05:30:26.445336+00:00,2026-05-15T05:30:31.525146+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.022265,1274,8,10192,3.942123,0.492765,91.5996,460.037492574,0.361096933,0.045137117,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\016_mobilenetv2_repeat4_nvidia-smi.txt,10,2.0,3504872,3.504872,2406194176,2.406194,4812388352,4.812388
tiny_vit_5m,paper_model,4,2026-05-15T05:30:33.731841+00:00,2026-05-15T05:30:38.790064+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.037841,605,8,4840,8.327009,1.040876,100.7528,507.576546403,0.838969498,0.104871187,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\017_tiny_vit_5m_repeat4_nvidia-smi.txt,10,2.0,12082725,12.082725,9322742784,9.322743,18645485568,18.645486
efficientnet_b0,paper_model,4,2026-05-15T05:30:40.930674+00:00,2026-05-15T05:30:46.018424+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.005581,766,8,6128,6.534702,0.816838,83.8052,419.493750343,0.547641972,0.068455246,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\018_efficientnet_b0_repeat4_nvidia-smi.txt,10,2.0,5288548,5.288548,3086518016,3.086518,6173036032,6.173036
mobilenetv3_small,paper_model,4,2026-05-15T05:30:48.065509+00:00,2026-05-15T05:30:53.073886+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.000402,1081,8,8648,4.625719,0.578215,60.233333,301.190874443,0.278622456,0.034827807,24,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\019_mobilenetv3_small_repeat4_nvidia-smi.txt,10,2.0,2542856,2.542856,452083200,0.452083,904166400,0.904166
resnet18,paper_model,4,2026-05-15T05:30:55.199294+00:00,2026-05-15T05:31:00.236280+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.036808,1252,8,10016,4.02301,0.502876,98.1356,494.290184978,0.394800467,0.049350058,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\020_resnet18_repeat4_nvidia-smi.txt,10,2.0,11689512,11.689512,14512586752,14.512587,29025173504,29.025174
efficientnet_b0,paper_model,5,2026-05-15T05:31:02.391188+00:00,2026-05-15T05:31:07.396239+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.003347,800,8,6400,6.254183,0.781773,84.719583,423.881447696,0.52985181,0.066231476,24,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\021_efficientnet_b0_repeat5_nvidia-smi.txt,10,2.0,5288548,5.288548,3086518016,3.086518,6173036032,6.173036
resnet18,paper_model,5,2026-05-15T05:31:09.533305+00:00,2026-05-15T05:31:14.599671+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.034462,1237,8,9896,4.069896,0.508737,99.255385,499.697412514,0.403959105,0.050494888,26,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\022_resnet18_repeat5_nvidia-smi.txt,10,2.0,11689512,11.689512,14512586752,14.512587,29025173504,29.025174
mobilenetv3_small,paper_model,5,2026-05-15T05:31:16.651317+00:00,2026-05-15T05:31:21.658007+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.002609,1047,8,8376,4.778041,0.597255,60.4512,302.413699045,0.288838299,0.036104787,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\023_mobilenetv3_small_repeat5_nvidia-smi.txt,10,2.0,2542856,2.542856,452083200,0.452083,904166400,0.904166
tiny_vit_5m,paper_model,5,2026-05-15T05:31:23.890774+00:00,2026-05-15T05:31:28.943537+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.036277,605,8,4840,8.324425,1.040553,99.269615,499.949290687,0.826362464,0.103295308,26,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\024_tiny_vit_5m_repeat5_nvidia-smi.txt,10,2.0,12082725,12.082725,9322742784,9.322743,18645485568,18.645486
mobilenetv2,paper_model,5,2026-05-15T05:31:31.050223+00:00,2026-05-15T05:31:36.075362+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.022482,1254,8,10032,4.005169,0.500646,90.4336,454.201155325,0.362201878,0.045275235,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\025_mobilenetv2_repeat5_nvidia-smi.txt,10,2.0,3504872,3.504872,2406194176,2.406194,4812388352,4.812388
