model,family,n_windows,parsed_energy_windows,total_inferences,inferences_per_window_mean,params,params_M,macs,macs_G,flops,flops_G,latency_mean_ms,latency_std_ms,mean_power_W,mean_power_std_W,energy_mean_J,energy_std_J,energy_sem_J,energy_ci95_low_J,energy_ci95_high_J,edp_J_ms,measurement_type,power_note
mobilenetv3_small,paper_model,5,5,5357,1071.4,2542856,2.542856,452083200,0.452083,904166400,0.904166,4.67146,0.115006,60.206917,0.209374,0.281248986,0.006722222,0.003006269,0.272903583,0.289594389,1.313843389,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
mobilenetv2,paper_model,5,5,6315,1263.0,3504872,3.504872,2406194176,2.406194,4812388352,4.812388,3.975972,0.026345,90.732545,0.516263,0.360743455,0.00199002,0.000889964,0.358272914,0.363213996,1.434305804,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
resnet18,paper_model,5,5,6251,1250.2,11689512,11.689512,14512586752,14.512587,29025173504,29.025174,4.026654,0.0427,99.186428,0.881091,0.399374862,0.004013882,0.001795063,0.394391768,0.404357955,1.608144385,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
tiny_vit_5m,paper_model,5,5,3015,603.0,12082725,12.082725,9322742784,9.322743,18645485568,18.645486,8.350061,0.044,99.571926,0.925331,0.831424323,0.00799677,0.003576264,0.821496614,0.841352032,6.942443483,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
efficientnet_b0,paper_model,5,5,3899,779.8,5288548,5.288548,3086518016,3.086518,6173036032,6.173036,6.421657,0.196522,83.995834,0.785951,0.539276802,0.011882104,0.005313839,0.524525586,0.554028018,3.463050651,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
