model,family,backend,batch_size,image_size,trial,start_utc,end_utc,window_seconds_requested,window_seconds_actual,powermetrics_sample_interval_ms,powermetrics_requested_samples,parsed_samples,power_source,inferences,latency_ms_per_inference,mean_power_W,combined_power_W_mean,cpu_power_W_mean,gpu_power_W_mean,ane_power_W_mean,total_window_energy_J,energy_J_per_inference,warmup_trials,cooldown_seconds,raw_powermetrics_log,schedule_index
convnext_micro,convnext_like,cpu,1,128,1,2026-05-25T04:27:00.769317+00:00,2026-05-25T04:27:22.149281+00:00,20.0,20.000868,1000,20,20,combined,5713,3.50094,5.947,5.947,5.9469,0.0001,0.0,118.945160016,0.020820088,20,5.0,measured_energy_powermetrics_m4pro_arch15_cpu_b1_128/raw_powermetrics/001_convnext_micro_repeat1.txt,1
inverted_residual_wide,inverted_residual,cpu,1,128,1,2026-05-25T04:27:27.272317+00:00,2026-05-25T04:27:48.522314+00:00,20.0,20.000635,1000,20,20,combined,4839,4.133217,5.8313,5.8313,5.8312,0.0001,0.0,116.629705062,0.024102026,20,5.0,measured_energy_powermetrics_m4pro_arch15_cpu_b1_128/raw_powermetrics/002_inverted_residual_wide_repeat1.txt,2
residual_cnn_small,residual_cnn,cpu,1,128,1,2026-05-25T04:27:53.578110+00:00,2026-05-25T04:28:14.896747+00:00,20.0,20.000897,1000,20,20,combined,16989,1.177285,5.74065,5.74065,5.74055,0.0001,0.0,114.818151275,0.006758382,20,5.0,measured_energy_powermetrics_m4pro_arch15_cpu_b1_128/raw_powermetrics/003_residual_cnn_small_repeat1.txt,3
squeeze_expand_cnn,squeeze_cnn,cpu,1,128,1,2026-05-25T04:28:19.950090+00:00,2026-05-25T04:28:41.265259+00:00,20.0,20.000889,1000,20,20,combined,18552,1.078099,5.6193,5.6193,5.6193,0.0,0.0,112.39099322,0.00605816,20,5.0,measured_energy_powermetrics_m4pro_arch15_cpu_b1_128/raw_powermetrics/004_squeeze_expand_cnn_repeat1.txt,4
global_avg_mlp_tiny,mlp,cpu,1,128,1,2026-05-25T04:28:46.275565+00:00,2026-05-25T04:29:07.758341+00:00,20.0,20.000015,1000,20,20,combined,1054855,0.01896,4.81165,4.81165,4.8115,0.00015,0.0,96.233074176,9.1229e-05,20,5.0,measured_energy_powermetrics_m4pro_arch15_cpu_b1_128/raw_powermetrics/005_global_avg_mlp_tiny_repeat1.txt,5
cnn_tiny_2conv,plain_cnn,cpu,1,128,1,2026-05-25T04:29:12.784439+00:00,2026-05-25T04:29:34.121897+00:00,20.0,20.000244,1000,20,20,combined,71801,0.278551,5.53705,5.53705,5.53705,0.0,0.0,110.7423515,0.001542351,20,5.0,measured_energy_powermetrics_m4pro_arch15_cpu_b1_128/raw_powermetrics/006_cnn_tiny_2conv_repeat1.txt,6
inverted_residual_small,inverted_residual,cpu,1,128,1,2026-05-25T04:29:39.177698+00:00,2026-05-25T04:30:00.480953+00:00,20.0,20.000083,1000,20,20,combined,17146,1.166458,5.91575,5.91575,5.91545,0.0003,0.0,118.315490759,0.006900472,20,5.0,measured_energy_powermetrics_m4pro_arch15_cpu_b1_128/raw_powermetrics/007_inverted_residual_small_repeat1.txt,7
residual_cnn_medium,residual_cnn,cpu,1,128,1,2026-05-25T04:30:05.568797+00:00,2026-05-25T04:30:26.890370+00:00,20.0,20.001549,1000,20,20,combined,8378,2.387389,5.181,5.181,5.181,0.0,0.0,103.628024286,0.012369065,20,5.0,measured_energy_powermetrics_m4pro_arch15_cpu_b1_128/raw_powermetrics/008_residual_cnn_medium_repeat1.txt,8
depthwise_medium,depthwise_cnn,cpu,1,128,1,2026-05-25T04:30:31.932869+00:00,2026-05-25T04:30:53.301249+00:00,20.0,20.000241,1000,20,20,combined,26390,0.757872,5.26455,5.26455,5.26455,0.0,0.0,105.292269415,0.003989855,20,5.0,measured_energy_powermetrics_m4pro_arch15_cpu_b1_128/raw_powermetrics/009_depthwise_medium_repeat1.txt,9
cnn_small_4conv,plain_cnn,cpu,1,128,1,2026-05-25T04:30:58.334891+00:00,2026-05-25T04:31:19.672240+00:00,20.0,20.000095,1000,20,20,combined,41289,0.484393,5.7151,5.7151,5.71495,0.00015,0.0,114.30254222,0.002768353,20,5.0,measured_energy_powermetrics_m4pro_arch15_cpu_b1_128/raw_powermetrics/010_cnn_small_4conv_repeat1.txt,10
