model,family,repeat,start_utc,end_utc,device,measurement_type,window_seconds_requested,window_seconds_actual,inferences,batch_size,images_processed,latency_ms_per_inference,latency_ms_per_image,mean_power_W,total_window_energy_J,energy_J_per_inference,energy_J_per_image,parsed_power_samples,power_note,raw_power_log,warmup_trials,cooldown_seconds,params,params_M,macs,macs_G,flops,flops_G
resnet18,paper_model,1,2026-05-15T05:11:54.455511+00:00,2026-05-15T05:12:04.459767+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.002117,5150,1,5150,1.942159,1.942159,81.969796,819.871489242,0.159198347,0.159198347,49,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\001_resnet18_repeat1_nvidia-smi.txt,10,2.0,11689512,11.689512,1814073344,1.814073,3628146688,3.628147
mobilenetv3_small,paper_model,1,2026-05-15T05:12:06.589251+00:00,2026-05-15T05:12:16.591118+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.001322,2356,1,2356,4.245043,4.245043,55.153542,551.60835171,0.234129182,0.234129182,48,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\002_mobilenetv3_small_repeat1_nvidia-smi.txt,10,2.0,2542856,2.542856,56510400,0.05651,113020800,0.113021
tiny_vit_5m,paper_model,1,2026-05-15T05:12:18.751832+00:00,2026-05-15T05:12:28.784265+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.00819,1464,1,1464,6.836195,6.836195,59.645306,596.941562246,0.407746969,0.407746969,49,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\003_tiny_vit_5m_repeat1_nvidia-smi.txt,10,2.0,12082725,12.082725,1165342848,1.165343,2330685696,2.330686
efficientnet_b0,paper_model,1,2026-05-15T05:12:30.900309+00:00,2026-05-15T05:12:40.943864+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.004096,1490,1,1490,6.714159,6.714159,56.253404,562.764484624,0.377694285,0.377694285,47,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\004_efficientnet_b0_repeat1_nvidia-smi.txt,10,2.0,5288548,5.288548,385814752,0.385815,771629504,0.77163
mobilenetv2,paper_model,1,2026-05-15T05:12:42.998683+00:00,2026-05-15T05:12:53.062429+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.002462,2289,1,2289,4.369795,4.369795,56.667917,566.81866041,0.2476272,0.2476272,48,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\005_mobilenetv2_repeat1_nvidia-smi.txt,10,2.0,3504872,3.504872,300774272,0.300774,601548544,0.601549
mobilenetv3_small,paper_model,2,2026-05-15T05:12:55.103678+00:00,2026-05-15T05:13:05.105475+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.000377,2357,1,2357,4.242841,4.242841,54.971489,549.735612371,0.233235304,0.233235304,47,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\006_mobilenetv3_small_repeat2_nvidia-smi.txt,10,2.0,2542856,2.542856,56510400,0.05651,113020800,0.113021
tiny_vit_5m,paper_model,2,2026-05-15T05:13:07.219032+00:00,2026-05-15T05:13:17.221574+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.000289,1445,1,1445,6.920615,6.920615,59.862857,598.645859822,0.414287792,0.414287792,49,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\007_tiny_vit_5m_repeat2_nvidia-smi.txt,10,2.0,12082725,12.082725,1165342848,1.165343,2330685696,2.330686
efficientnet_b0,paper_model,2,2026-05-15T05:13:19.280499+00:00,2026-05-15T05:13:29.287238+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.005175,1460,1,1460,6.85286,6.85286,56.484681,565.139111086,0.387081583,0.387081583,47,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\008_efficientnet_b0_repeat2_nvidia-smi.txt,10,2.0,5288548,5.288548,385814752,0.385815,771629504,0.77163
resnet18,paper_model,2,2026-05-15T05:13:31.364198+00:00,2026-05-15T05:13:41.395850+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.000787,4839,1,4839,2.066705,2.066705,81.878,818.84442161,0.169217694,0.169217694,50,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\009_resnet18_repeat2_nvidia-smi.txt,10,2.0,11689512,11.689512,1814073344,1.814073,3628146688,3.628147
mobilenetv2,paper_model,2,2026-05-15T05:13:43.464656+00:00,2026-05-15T05:13:53.469913+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.003645,2307,1,2307,4.336214,4.336214,57.539796,575.607703248,0.249504856,0.249504856,49,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\010_mobilenetv2_repeat2_nvidia-smi.txt,10,2.0,3504872,3.504872,300774272,0.300774,601548544,0.601549
efficientnet_b0,paper_model,3,2026-05-15T05:13:55.549905+00:00,2026-05-15T05:14:05.561671+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.000628,1450,1,1450,6.896985,6.896985,56.737755,567.413170983,0.391319428,0.391319428,49,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\011_efficientnet_b0_repeat3_nvidia-smi.txt,10,2.0,5288548,5.288548,385814752,0.385815,771629504,0.77163
mobilenetv3_small,paper_model,3,2026-05-15T05:14:07.614243+00:00,2026-05-15T05:14:17.617918+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.002269,2407,1,2407,4.155492,4.155492,55.541458,555.54061801,0.230802085,0.230802085,48,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\012_mobilenetv3_small_repeat3_nvidia-smi.txt,10,2.0,2542856,2.542856,56510400,0.05651,113020800,0.113021
resnet18,paper_model,3,2026-05-15T05:14:19.701292+00:00,2026-05-15T05:14:29.708701+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.002222,4955,1,4955,2.018612,2.018612,82.6748,826.931728208,0.166888341,0.166888341,50,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\013_resnet18_repeat3_nvidia-smi.txt,10,2.0,11689512,11.689512,1814073344,1.814073,3628146688,3.628147
tiny_vit_5m,paper_model,3,2026-05-15T05:14:31.767705+00:00,2026-05-15T05:14:41.822028+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.00522,1455,1,1455,6.87644,6.87644,60.699388,607.310734425,0.417395694,0.417395694,49,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\014_tiny_vit_5m_repeat3_nvidia-smi.txt,10,2.0,12082725,12.082725,1165342848,1.165343,2330685696,2.330686
mobilenetv2,paper_model,3,2026-05-15T05:14:43.861992+00:00,2026-05-15T05:14:53.922129+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.0073,2291,1,2291,4.368093,4.368093,56.8188,568.602788604,0.248189781,0.248189781,50,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\015_mobilenetv2_repeat3_nvidia-smi.txt,10,2.0,3504872,3.504872,300774272,0.300774,601548544,0.601549
mobilenetv2,paper_model,4,2026-05-15T05:14:55.964183+00:00,2026-05-15T05:15:05.968716+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.002916,2349,1,2349,4.258372,4.258372,56.437755,564.542146089,0.24033297,0.24033297,49,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\016_mobilenetv2_repeat4_nvidia-smi.txt,10,2.0,3504872,3.504872,300774272,0.300774,601548544,0.601549
tiny_vit_5m,paper_model,4,2026-05-15T05:15:08.037153+00:00,2026-05-15T05:15:18.077841+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.000586,1418,1,1418,7.052599,7.052599,59.4212,594.246797055,0.419073905,0.419073905,50,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\017_tiny_vit_5m_repeat4_nvidia-smi.txt,10,2.0,12082725,12.082725,1165342848,1.165343,2330685696,2.330686
efficientnet_b0,paper_model,4,2026-05-15T05:15:20.134167+00:00,2026-05-15T05:15:30.136993+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.000369,1462,1,1462,6.840197,6.840197,55.773542,557.755974794,0.381502035,0.381502035,48,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\018_efficientnet_b0_repeat4_nvidia-smi.txt,10,2.0,5288548,5.288548,385814752,0.385815,771629504,0.77163
mobilenetv3_small,paper_model,4,2026-05-15T05:15:32.176761+00:00,2026-05-15T05:15:42.178517+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.000573,2253,1,2253,4.438781,4.438781,54.422041,544.251575666,0.241567499,0.241567499,49,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\019_mobilenetv3_small_repeat4_nvidia-smi.txt,10,2.0,2542856,2.542856,56510400,0.05651,113020800,0.113021
resnet18,paper_model,4,2026-05-15T05:15:44.265083+00:00,2026-05-15T05:15:54.266998+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.000022,4903,1,4903,2.039572,2.039572,80.142083,801.422556388,0.163455549,0.163455549,48,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\020_resnet18_repeat4_nvidia-smi.txt,10,2.0,11689512,11.689512,1814073344,1.814073,3628146688,3.628147
efficientnet_b0,paper_model,5,2026-05-15T05:15:56.336282+00:00,2026-05-15T05:16:06.409874+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.004313,1491,1,1491,6.709801,6.709801,56.095,561.191937735,0.376386276,0.376386276,50,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\021_efficientnet_b0_repeat5_nvidia-smi.txt,10,2.0,5288548,5.288548,385814752,0.385815,771629504,0.77163
resnet18,paper_model,5,2026-05-15T05:16:08.495454+00:00,2026-05-15T05:16:18.497957+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.000615,4999,1,4999,2.000523,2.000523,80.894286,808.992566681,0.16183088,0.16183088,49,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060\raw_power\022_resnet18_repeat5_nvidia-smi.txt,10,2.0,11689512,11.689512,1814073344,1.814073,3628146688,3.628147
