model,family,n_windows,parsed_energy_windows,total_inferences,inferences_per_window_mean,params,params_M,macs,macs_G,flops,flops_G,latency_mean_ms,latency_std_ms,mean_power_W,mean_power_std_W,energy_mean_J,energy_std_J,energy_sem_J,energy_ci95_low_J,energy_ci95_high_J,edp_J_ms,measurement_type,power_note
mobilenetv3_small,paper_model,5,5,5880,1176.0,2542856,2.542856,56510400,0.05651,113020800,0.113021,4.260333,0.180975,55.257953,0.568396,0.235413411,0.010153843,0.004540937,0.22280777,0.248019051,1.002939616,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
mobilenetv2,paper_model,5,5,5831,1166.2,3504872,3.504872,300774272,0.300774,601548544,0.601549,4.292848,0.121927,56.798417,0.477146,0.243789204,0.005365648,0.002399591,0.23712794,0.250450468,1.046549948,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
resnet18,paper_model,5,5,12540,2508.0,11689512,11.689512,1814073344,1.814073,3628146688,3.628147,1.994077,0.019041,77.49076,0.294398,0.154519431,0.001145505,0.000512285,0.153097327,0.155941535,0.308123706,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
tiny_vit_5m,paper_model,5,5,3638,727.6,12082725,12.082725,1165342848,1.165343,2330685696,2.330686,6.876523,0.060778,59.651857,0.831923,0.410167912,0.00394602,0.001764714,0.405269067,0.415066757,2.820528999,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
efficientnet_b0,paper_model,5,5,3673,734.6,5288548,5.288548,385814752,0.385815,771629504,0.77163,6.814579,0.17495,56.443823,0.831795,0.384555481,0.006789801,0.003036491,0.376126181,0.39298478,2.620583626,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
