model,family,repeat,start_utc,end_utc,device,measurement_type,window_seconds_requested,window_seconds_actual,inferences,batch_size,images_processed,latency_ms_per_inference,latency_ms_per_image,mean_power_W,total_window_energy_J,energy_J_per_inference,energy_J_per_image,parsed_power_samples,power_note,raw_power_log,warmup_trials,cooldown_seconds,params,params_M,macs,macs_G,flops,flops_G
resnet18,paper_model,1,2026-05-15T02:34:01.180624+00:00,2026-05-15T02:34:06.748123+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.091071,76,16,1216,66.987778,4.186736,13.448182,68.465649802,0.900863813,0.056303988,11,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_16\raw_power\001_resnet18_repeat1_nvidia-smi.txt,10,2.0,11689512,11.689512,29025173504,29.025174,58050347008,58.050347
mobilenetv3_small,paper_model,1,2026-05-15T02:34:10.670767+00:00,2026-05-15T02:34:15.725065+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.045399,65,16,1040,77.621529,4.851346,8.4625,42.696692423,0.656872191,0.041054512,16,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_16\raw_power\002_mobilenetv3_small_repeat1_nvidia-smi.txt,10,2.0,2542856,2.542856,904166400,0.904166,1808332800,1.808333
tiny_vit_5m,paper_model,1,2026-05-15T02:34:19.180377+00:00,2026-05-15T02:34:24.768855+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.563242,43,16,688,129.377716,8.086107,14.9532,83.188267284,1.934610867,0.120913179,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_16\raw_power\003_tiny_vit_5m_repeat1_nvidia-smi.txt,10,2.0,12082725,12.082725,18645485568,18.645486,37290971136,37.290971
efficientnet_b0,paper_model,1,2026-05-15T02:34:27.637329+00:00,2026-05-15T02:34:33.028252+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.387713,73,16,1168,73.804285,4.612768,14.79913,79.733464472,1.092239239,0.068264952,23,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_16\raw_power\004_efficientnet_b0_repeat1_nvidia-smi.txt,10,2.0,5288548,5.288548,6173036032,6.173036,12346072064,12.346072
mobilenetv2,paper_model,1,2026-05-15T02:34:35.638185+00:00,2026-05-15T02:34:40.999370+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.370699,97,16,1552,55.368031,3.460502,14.685833,78.873190397,0.813125674,0.050820355,24,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_16\raw_power\005_mobilenetv2_repeat1_nvidia-smi.txt,10,2.0,3504872,3.504872,4812388352,4.812388,9624776704,9.624777
mobilenetv3_small,paper_model,2,2026-05-15T02:34:43.310692+00:00,2026-05-15T02:34:48.332176+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.022027,125,16,2000,40.176214,2.511013,9.714091,48.784423912,0.390275391,0.024392212,22,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_16\raw_power\006_mobilenetv3_small_repeat2_nvidia-smi.txt,10,2.0,2542856,2.542856,904166400,0.904166,1808332800,1.808333
tiny_vit_5m,paper_model,2,2026-05-15T02:34:51.620513+00:00,2026-05-15T02:34:57.320657+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.686566,43,16,688,132.245723,8.265358,14.95129,85.0215007,1.977244202,0.123577763,31,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_16\raw_power\007_tiny_vit_5m_repeat2_nvidia-smi.txt,10,2.0,12082725,12.082725,18645485568,18.645486,37290971136,37.290971
efficientnet_b0,paper_model,2,2026-05-15T02:35:00.027602+00:00,2026-05-15T02:35:05.312894+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.272122,72,16,1152,73.223917,4.576495,14.773448,77.887421671,1.081769745,0.067610609,29,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_16\raw_power\008_efficientnet_b0_repeat2_nvidia-smi.txt,10,2.0,5288548,5.288548,6173036032,6.173036,12346072064,12.346072
resnet18,paper_model,2,2026-05-15T02:35:07.841767+00:00,2026-05-15T02:35:13.134289+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.043649,64,16,1024,78.807008,4.925438,13.155714,66.352798624,1.036762479,0.064797655,14,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_16\raw_power\009_resnet18_repeat2_nvidia-smi.txt,10,2.0,11689512,11.689512,29025173504,29.025174,58050347008,58.050347
mobilenetv2,paper_model,2,2026-05-15T02:35:15.897524+00:00,2026-05-15T02:35:21.296046+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.364466,88,16,1408,60.959843,3.80999,14.492174,77.742777121,0.883440649,0.055215041,23,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_16\raw_power\010_mobilenetv2_repeat2_nvidia-smi.txt,10,2.0,3504872,3.504872,4812388352,4.812388,9624776704,9.624777
