model,trial,start_utc,end_utc,window_seconds_requested,window_seconds_actual,powermetrics_sample_interval_ms,powermetrics_requested_samples,parsed_samples,power_source,inferences,latency_ms_per_inference,mean_power_W,combined_power_W_mean,cpu_power_W_mean,gpu_power_W_mean,ane_power_W_mean,total_window_energy_J,energy_J_per_inference,warmup_trials,cooldown_seconds,raw_powermetrics_log,schedule_index
resnet18,7,2026-04-30T18:04:28.246121+00:00,2026-04-30T18:04:49.479348+00:00,20.0,20.006283,1000,20,20,combined,1875,10.670018,7.5034,7.5034,7.29405,0.209425,0.0,150.115147614,0.080061412,10,10.0,measured_energy_powermetrics/raw_powermetrics/033_resnet18_repeat7.txt,33
tiny_vit_5m,7,2026-04-30T18:04:59.782624+00:00,2026-04-30T18:05:21.043353+00:00,20.0,20.012307,1000,20,20,combined,789,25.36414,7.23675,7.23675,7.1302,0.106475,0.0,144.824061481,0.183553944,10,10.0,measured_energy_powermetrics/raw_powermetrics/034_tiny_vit_5m_repeat7.txt,34
mobilenetv2,7,2026-04-30T18:05:31.206012+00:00,2026-04-30T18:05:52.508065+00:00,20.0,20.005541,1000,20,20,combined,1921,10.414128,5.7546,5.7546,5.7321,0.022475,0.0,115.123884322,0.059929143,10,10.0,measured_energy_powermetrics/raw_powermetrics/035_mobilenetv2_repeat7.txt,35
resnet18,8,2026-04-30T18:06:02.653357+00:00,2026-04-30T18:06:23.883310+00:00,20.0,20.000042,1000,20,20,combined,1972,10.142009,6.491,6.491,6.4906,0.0004,0.0,129.820270727,0.06583178,10,10.0,measured_energy_powermetrics/raw_powermetrics/036_resnet18_repeat8.txt,36
efficientnet_b0,8,2026-04-30T18:06:34.255589+00:00,2026-04-30T18:06:55.539449+00:00,20.0,20.019094,1000,20,20,combined,596,33.589084,5.2979,5.2979,5.29755,0.00035,0.0,106.059158542,0.177951608,10,10.0,measured_energy_powermetrics/raw_powermetrics/037_efficientnet_b0_repeat8.txt,37
mobilenetv3_small,8,2026-04-30T18:07:05.672108+00:00,2026-04-30T18:07:26.982029+00:00,20.0,20.007013,1000,20,20,combined,2098,9.536231,5.05935,5.05935,5.04705,0.012325,0.0,101.222479957,0.048247131,10,10.0,measured_energy_powermetrics/raw_powermetrics/038_mobilenetv3_small_repeat8.txt,38
tiny_vit_5m,8,2026-04-30T18:07:37.287744+00:00,2026-04-30T18:07:58.540128+00:00,20.0,20.004658,1000,20,20,combined,806,24.819674,6.23725,6.23725,6.237,0.00025,0.0,124.774050254,0.154806514,10,10.0,measured_energy_powermetrics/raw_powermetrics/039_tiny_vit_5m_repeat8.txt,39
mobilenetv2,8,2026-04-30T18:08:08.701104+00:00,2026-04-30T18:08:29.986741+00:00,20.0,20.005629,1000,20,20,combined,1933,10.349524,5.70205,5.70205,5.67855,0.0235,0.0,114.073097792,0.059013501,10,10.0,measured_energy_powermetrics/raw_powermetrics/040_mobilenetv2_repeat8.txt,40
mobilenetv3_small,9,2026-04-30T18:08:40.119040+00:00,2026-04-30T18:09:01.423788+00:00,20.0,20.007847,1000,20,20,combined,2080,9.619157,5.23435,5.23435,5.1974,0.036925,0.0,104.728076127,0.050350037,10,10.0,measured_energy_powermetrics/raw_powermetrics/041_mobilenetv3_small_repeat9.txt,41
efficientnet_b0,9,2026-04-30T18:09:11.807352+00:00,2026-04-30T18:09:33.101538+00:00,20.0,20.007942,1000,20,20,combined,580,34.496452,6.61455,6.61455,6.37775,0.23655,0.0,132.343534965,0.228178509,10,10.0,measured_energy_powermetrics/raw_powermetrics/042_efficientnet_b0_repeat9.txt,42
tiny_vit_5m,9,2026-04-30T18:09:43.412877+00:00,2026-04-30T18:10:04.666131+00:00,20.0,20.018788,1000,20,20,combined,800,25.023484,6.4661,6.4661,6.417,0.049025,0.0,129.443482119,0.161804353,10,10.0,measured_energy_powermetrics/raw_powermetrics/043_tiny_vit_5m_repeat9.txt,43
resnet18,9,2026-04-30T18:10:14.810099+00:00,2026-04-30T18:10:36.038451+00:00,20.0,20.005284,1000,20,20,combined,1974,10.134389,6.5287,6.5287,6.52795,0.00075,0.0,130.608497651,0.066164386,10,10.0,measured_energy_powermetrics/raw_powermetrics/044_resnet18_repeat9.txt,44
mobilenetv2,9,2026-04-30T18:10:46.185738+00:00,2026-04-30T18:11:07.470383+00:00,20.0,20.002918,1000,20,20,combined,1948,10.268438,5.5206,5.5206,5.5204,0.0002,0.0,110.428107272,0.05668794,10,10.0,measured_energy_powermetrics/raw_powermetrics/045_mobilenetv2_repeat9.txt,45
tiny_vit_5m,10,2026-04-30T18:11:17.758594+00:00,2026-04-30T18:11:38.999259+00:00,20.0,20.011644,1000,20,20,combined,806,24.828342,6.2532,6.2532,6.2531,0.0001,0.0,125.136810178,0.155256588,10,10.0,measured_energy_powermetrics/raw_powermetrics/046_tiny_vit_5m_repeat10.txt,46
resnet18,10,2026-04-30T18:11:49.144021+00:00,2026-04-30T18:12:10.366849+00:00,20.0,20.003401,1000,20,20,combined,1976,10.123179,6.89635,6.89635,6.8962,0.00015,0.0,137.950454197,0.069812983,10,10.0,measured_energy_powermetrics/raw_powermetrics/047_resnet18_repeat10.txt,47
mobilenetv3_small,10,2026-04-30T18:12:20.502677+00:00,2026-04-30T18:12:41.810992+00:00,20.0,20.003053,1000,20,20,combined,2116,9.453238,4.93935,4.93935,4.939,0.0004,0.0,98.802077573,0.046692853,10,10.0,measured_energy_powermetrics/raw_powermetrics/048_mobilenetv3_small_repeat10.txt,48
efficientnet_b0,10,2026-04-30T18:12:52.179733+00:00,2026-04-30T18:13:13.461229+00:00,20.0,20.030429,1000,20,20,combined,601,33.3285,5.40565,5.40565,5.40525,0.0004,0.0,108.27748627,0.180162207,10,10.0,measured_energy_powermetrics/raw_powermetrics/049_efficientnet_b0_repeat10.txt,49
mobilenetv2,10,2026-04-30T18:13:23.604961+00:00,2026-04-30T18:13:44.886330+00:00,20.0,20.006876,1000,20,20,combined,1941,10.30751,5.6592,5.6592,5.65895,0.00025,0.0,113.222914074,0.058332259,10,10.0,measured_energy_powermetrics/raw_powermetrics/050_mobilenetv2_repeat10.txt,50
