model,n_windows,parsed_windows,total_inferences,inferences_per_window_mean,inferences_per_window_std,energy_mean_J,energy_std_J,energy_sem_J,energy_ci95_low_J,energy_ci95_high_J,latency_mean_ms,latency_std_ms,mean_power_W,mean_power_std_W
mobilenetv3_small,10,10,4410,441.0,3.712,0.066900174,0.01012111,0.003200576,0.059660472,0.074139877,45.394544,0.397547,1.47265,0.211935
mobilenetv2,10,10,3150,315.0,7.93,0.093919426,0.014271948,0.004513186,0.083710598,0.104128253,63.622918,1.650889,1.47519,0.207735
resnet18,10,10,2620,262.0,13.936,0.126444235,0.01544225,0.004883268,0.115398282,0.137490188,76.628181,3.875574,1.66098,0.273059
tiny_vit_5m,10,10,1345,134.5,5.622,0.27585051,0.174457046,0.055168162,0.151060128,0.400640893,149.732403,6.608856,1.807055,0.992661
efficientnet_b0,10,10,1069,106.9,2.685,0.268433501,0.027583818,0.008722769,0.248702598,0.288164405,187.696799,4.814567,1.431305,0.152785
