model,trial,start_utc,end_utc,window_seconds_requested,window_seconds_actual,powermetrics_sample_interval_ms,powermetrics_requested_samples,parsed_samples,power_source,inferences,latency_ms_per_inference,mean_power_W,combined_power_W_mean,cpu_power_W_mean,gpu_power_W_mean,ane_power_W_mean,total_window_energy_J,energy_J_per_inference,warmup_trials,cooldown_seconds,raw_powermetrics_log,schedule_index
resnet18,7,2026-05-16T20:01:36.576844+00:00,2026-05-16T20:01:57.825961+00:00,20.0,20.002808,1000,20,20,combined,969,20.642733,4.66475,4.66475,4.6604,0.0044,0.0,93.308098231,0.096293187,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/033_resnet18_repeat7.txt,33
tiny_vit_5m,7,2026-05-16T20:02:08.192285+00:00,2026-05-16T20:02:29.434957+00:00,20.0,20.016635,1000,20,20,combined,659,30.374256,5.068,5.068,5.0661,0.0019,0.0,101.44430618,0.153936732,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/034_tiny_vit_5m_repeat7.txt,34
mobilenetv2,7,2026-05-16T20:02:39.637475+00:00,2026-05-16T20:03:00.870511+00:00,20.0,20.008173,1000,20,20,combined,1213,16.494784,5.04945,5.04945,5.0451,0.00435,0.0,101.030270836,0.083289588,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/035_mobilenetv2_repeat7.txt,35
resnet18,8,2026-05-16T20:03:11.115500+00:00,2026-05-16T20:03:32.368247+00:00,20.0,20.002229,1000,20,20,combined,968,20.66346,4.66865,4.66865,4.6643,0.0044,0.0,93.383407588,0.096470462,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/036_resnet18_repeat8.txt,36
efficientnet_b0,8,2026-05-16T20:03:42.885431+00:00,2026-05-16T20:04:04.097707+00:00,20.0,20.025273,1000,20,20,combined,416,48.137676,4.69105,4.69105,4.69065,0.0004,0.0,93.93955769,0.225816244,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/037_efficientnet_b0_repeat8.txt,37
mobilenetv3_small,8,2026-05-16T20:04:14.296709+00:00,2026-05-16T20:04:35.514801+00:00,20.0,20.008176,1000,20,20,combined,1454,13.760781,4.53205,4.53205,4.53195,0.0001,0.0,90.67805366,0.062364549,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/038_mobilenetv3_small_repeat8.txt,38
tiny_vit_5m,8,2026-05-16T20:04:45.887461+00:00,2026-05-16T20:05:07.123932+00:00,20.0,20.010877,1000,20,20,combined,611,32.751027,4.85765,4.85765,4.85055,0.00715,0.0,97.205837669,0.159093024,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/039_tiny_vit_5m_repeat8.txt,39
mobilenetv2,8,2026-05-16T20:05:17.346726+00:00,2026-05-16T20:05:38.597303+00:00,20.0,20.009768,1000,20,20,combined,1207,16.578101,5.15335,5.15335,5.15325,0.0001,0.0,103.117339639,0.085432759,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/040_mobilenetv2_repeat8.txt,40
mobilenetv3_small,9,2026-05-16T20:05:48.789016+00:00,2026-05-16T20:06:10.021207+00:00,20.0,20.005918,1000,20,20,combined,1475,13.563334,4.71395,4.71395,4.7134,0.00055,0.0,94.306897156,0.063936879,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/041_mobilenetv3_small_repeat9.txt,41
efficientnet_b0,9,2026-05-16T20:06:20.565169+00:00,2026-05-16T20:06:41.796021+00:00,20.0,20.032079,1000,20,20,combined,415,48.270071,4.7504,4.7504,4.74975,0.00065,0.0,95.160389663,0.229302144,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/042_efficientnet_b0_repeat9.txt,42
tiny_vit_5m,9,2026-05-16T20:06:52.175450+00:00,2026-05-16T20:07:13.433743+00:00,20.0,20.019043,1000,20,20,combined,634,31.575777,4.962,4.962,4.9592,0.002775,0.0,99.334488885,0.156679005,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/043_tiny_vit_5m_repeat9.txt,43
resnet18,9,2026-05-16T20:07:23.676818+00:00,2026-05-16T20:07:44.947267+00:00,20.0,20.007203,1000,20,20,combined,968,20.668598,4.6887,4.6887,4.68665,0.00205,0.0,93.807771337,0.096908855,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/044_resnet18_repeat9.txt,44
mobilenetv2,9,2026-05-16T20:07:55.168330+00:00,2026-05-16T20:08:16.429351+00:00,20.0,20.007735,1000,20,20,combined,1213,16.494423,5.06815,5.06815,5.0613,0.0069,0.0,101.402204041,0.083596211,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/045_mobilenetv2_repeat9.txt,45
tiny_vit_5m,10,2026-05-16T20:08:26.796021+00:00,2026-05-16T20:08:48.059833+00:00,20.0,20.029605,1000,20,20,combined,611,32.781678,4.8419,4.8419,4.8418,0.0001,0.0,96.981346062,0.158725607,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/046_tiny_vit_5m_repeat10.txt,46
resnet18,10,2026-05-16T20:08:58.314284+00:00,2026-05-16T20:09:19.594913+00:00,20.0,20.008709,1000,20,20,combined,983,20.354739,4.66985,4.66985,4.668,0.0019,0.0,93.43766914,0.09505358,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/047_resnet18_repeat10.txt,47
mobilenetv3_small,10,2026-05-16T20:09:29.784823+00:00,2026-05-16T20:09:51.021371+00:00,20.0,20.011812,1000,20,20,combined,1474,13.576535,4.5602,4.5602,4.55945,0.00075,0.0,91.257865274,0.061911713,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/048_mobilenetv3_small_repeat10.txt,48
efficientnet_b0,10,2026-05-16T20:10:01.558109+00:00,2026-05-16T20:10:22.794103+00:00,20.0,20.014803,1000,20,20,combined,417,47.997129,4.6954,4.6954,4.69345,0.00195,0.0,93.977504442,0.225365718,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/049_efficientnet_b0_repeat10.txt,49
mobilenetv2,10,2026-05-16T20:10:33.020301+00:00,2026-05-16T20:10:54.276853+00:00,20.0,20.012749,1000,20,20,combined,1214,16.484966,5.0416,5.0416,5.0415,0.0001,0.0,100.896275565,0.083110606,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/050_mobilenetv2_repeat10.txt,50
