model,n_windows,parsed_windows,total_inferences,inferences_per_window_mean,inferences_per_window_std,energy_mean_J,energy_std_J,energy_sem_J,energy_ci95_low_J,energy_ci95_high_J,latency_mean_ms,latency_std_ms,mean_power_W,mean_power_std_W
mobilenetv3_small,10,10,14484,1448.4,41.371,0.06702275,0.010484943,0.00331563,0.059522795,0.074522706,13.824664,0.402532,4.836505,0.626275
mobilenetv2,10,10,12101,1210.1,5.507,0.084051955,0.000914112,0.000289068,0.083398085,0.084705826,16.535243,0.072943,5.08309,0.035978
resnet18,10,10,9781,978.1,15.906,0.093458757,0.009249177,0.002924847,0.086842754,0.10007476,20.461112,0.329867,4.5661,0.431701
tiny_vit_5m,10,10,6268,626.8,21.415,0.158335433,0.003982963,0.001259523,0.155486392,0.161184475,31.968861,1.064583,4.955845,0.147075
efficientnet_b0,10,10,4139,413.9,4.508,0.231300438,0.011165932,0.003530978,0.223313366,0.23928751,48.379117,0.559529,4.77924,0.172178
