model,family,n_windows,parsed_energy_windows,total_inferences,inferences_per_window_mean,params,params_M,macs,macs_G,flops,flops_G,latency_mean_ms,latency_std_ms,mean_power_W,mean_power_std_W,energy_mean_J,energy_std_J,energy_sem_J,energy_ci95_low_J,energy_ci95_high_J,edp_J_ms,measurement_type,power_note
mobilenetv3_small,paper_model,10,10,10586,1058.6,2542856,2.542856,56510400,0.05651,113020800,0.113021,13.553754,9.244063,8.425129,1.290019,0.106908767,0.063533243,0.020090975,0.061462981,0.152354554,1.449015132,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
mobilenetv2,paper_model,10,10,10531,1053.1,3504872,3.504872,300774272,0.300774,601548544,0.601549,11.312022,4.082699,10.211446,1.797889,0.109327503,0.027831304,0.008801031,0.089419571,0.129235436,1.236715155,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
resnet18,paper_model,10,10,18248,1824.8,11689512,11.689512,1814073344,1.814073,3628146688,3.628147,6.005678,2.020562,17.838298,4.324266,0.102388923,0.025488266,0.008060097,0.084156983,0.120620863,0.614914922,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
tiny_vit_5m,paper_model,10,10,6974,697.4,12082725,12.082725,1165342848,1.165343,2330685696,2.330686,18.20464,8.080847,12.627258,2.842548,0.211372807,0.062481728,0.019758457,0.166679176,0.256066438,3.847965836,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
efficientnet_b0,paper_model,10,10,7083,708.3,5288548,5.288548,385814752,0.385815,771629504,0.77163,18.598238,9.790166,9.957117,1.81414,0.171382366,0.067230283,0.021260082,0.12329206,0.219472671,3.187409956,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
