model,n_windows,parsed_windows,total_inferences,inferences_per_window_mean,inferences_per_window_std,energy_mean_J,energy_std_J,energy_sem_J,energy_ci95_low_J,energy_ci95_high_J,latency_mean_ms,latency_std_ms,mean_power_W,mean_power_std_W
mobilenetv3_small,10,10,19153,1915.3,106.06,0.088158254,0.028108403,0.008888658,0.06805211,0.108264397,10.473679,0.565342,8.31206,2.290137
mobilenetv2,10,10,17573,1757.3,78.694,0.103821451,0.027224291,0.008609077,0.08434772,0.123295183,11.404152,0.506792,9.025175,2.012643
resnet18,10,10,17544,1754.4,124.79,0.095551722,0.019552977,0.006183194,0.081565337,0.109538108,11.4548,0.806749,8.273975,1.188605
tiny_vit_5m,10,10,7563,756.3,34.89,0.240345439,0.055093561,0.017422114,0.200936617,0.27975426,26.511786,1.220003,8.99891,1.671465
efficientnet_b0,10,10,5525,552.5,26.655,0.310363919,0.099153641,0.031355134,0.239438605,0.381289233,36.304091,1.767687,8.45361,2.308907
