model,family,repeat,start_utc,end_utc,device,measurement_type,window_seconds_requested,window_seconds_actual,inferences,batch_size,images_processed,latency_ms_per_inference,latency_ms_per_image,mean_power_W,total_window_energy_J,energy_J_per_inference,energy_J_per_image,parsed_power_samples,power_note,raw_power_log,warmup_trials,cooldown_seconds,params,params_M,macs,macs_G,flops,flops_G
resnet18,paper_model,1,2026-05-15T05:25:33.006164+00:00,2026-05-15T05:25:38.010423+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.003157,2149,4,8596,2.328133,0.582033,99.0924,495.774844616,0.230700253,0.057675063,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_4\raw_power\001_resnet18_repeat1_nvidia-smi.txt,10,2.0,11689512,11.689512,7256293376,7.256293,14512586752,14.512587
mobilenetv3_small,paper_model,1,2026-05-15T05:25:40.116860+00:00,2026-05-15T05:25:45.118484+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.000124,1143,4,4572,4.374562,1.09364,57.3725,286.869625664,0.25097955,0.062744888,24,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_4\raw_power\002_mobilenetv3_small_repeat1_nvidia-smi.txt,10,2.0,2542856,2.542856,226041600,0.226042,452083200,0.452083
tiny_vit_5m,paper_model,1,2026-05-15T05:25:47.397708+00:00,2026-05-15T05:25:52.403453+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.003579,817,4,3268,6.124331,1.531083,85.3216,426.913331878,0.522537738,0.130634434,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_4\raw_power\003_tiny_vit_5m_repeat1_nvidia-smi.txt,10,2.0,12082725,12.082725,4661371392,4.661371,9322742784,9.322743
efficientnet_b0,paper_model,1,2026-05-15T05:25:54.539592+00:00,2026-05-15T05:25:59.544871+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.004833,735,4,2940,6.809297,1.702324,69.572,348.196269305,0.473736421,0.118434105,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_4\raw_power\004_efficientnet_b0_repeat1_nvidia-smi.txt,10,2.0,5288548,5.288548,1543259008,1.543259,3086518016,3.086518
mobilenetv2,paper_model,1,2026-05-15T05:26:01.623384+00:00,2026-05-15T05:26:06.626063+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.002398,1170,4,4680,4.275554,1.068888,71.8352,359.348239259,0.307135247,0.076783812,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_4\raw_power\005_mobilenetv2_repeat1_nvidia-smi.txt,10,2.0,3504872,3.504872,1203097088,1.203097,2406194176,2.406194
mobilenetv3_small,paper_model,2,2026-05-15T05:26:08.667990+00:00,2026-05-15T05:26:13.671677+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.00167,1181,4,4724,4.235115,1.058779,57.288333,286.53735537,0.242622655,0.060655664,24,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_4\raw_power\006_mobilenetv3_small_repeat2_nvidia-smi.txt,10,2.0,2542856,2.542856,226041600,0.226042,452083200,0.452083
tiny_vit_5m,paper_model,2,2026-05-15T05:26:15.959146+00:00,2026-05-15T05:26:20.996500+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.000996,791,4,3164,6.322372,1.580593,83.7476,418.821454483,0.529483508,0.132370877,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_4\raw_power\007_tiny_vit_5m_repeat2_nvidia-smi.txt,10,2.0,12082725,12.082725,4661371392,4.661371,9322742784,9.322743
efficientnet_b0,paper_model,2,2026-05-15T05:26:23.091934+00:00,2026-05-15T05:26:28.142809+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.00093,741,4,2964,6.748894,1.687223,69.8612,349.370998861,0.471485828,0.117871457,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_4\raw_power\008_efficientnet_b0_repeat2_nvidia-smi.txt,10,2.0,5288548,5.288548,1543259008,1.543259,3086518016,3.086518
resnet18,paper_model,2,2026-05-15T05:26:30.204733+00:00,2026-05-15T05:26:35.226015+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.02019,2113,4,8452,2.375859,0.593965,97.7784,490.866106785,0.23230767,0.058076918,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_4\raw_power\009_resnet18_repeat2_nvidia-smi.txt,10,2.0,11689512,11.689512,7256293376,7.256293,14512586752,14.512587
mobilenetv2,paper_model,2,2026-05-15T05:26:37.284901+00:00,2026-05-15T05:26:42.331776+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.000266,1209,4,4836,4.135869,1.033967,73.1636,365.837461518,0.302595088,0.075648772,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_4\raw_power\010_mobilenetv2_repeat2_nvidia-smi.txt,10,2.0,3504872,3.504872,1203097088,1.203097,2406194176,2.406194
efficientnet_b0,paper_model,3,2026-05-15T05:26:44.415368+00:00,2026-05-15T05:26:49.426325+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.010385,762,4,3048,6.575308,1.643827,69.9152,350.302062361,0.459713993,0.114928498,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_4\raw_power\011_efficientnet_b0_repeat3_nvidia-smi.txt,10,2.0,5288548,5.288548,1543259008,1.543259,3086518016,3.086518
