model,family,n_windows,parsed_energy_windows,total_inferences,inferences_per_window_mean,params,params_M,macs,macs_G,flops,flops_G,latency_mean_ms,latency_std_ms,mean_power_W,mean_power_std_W,energy_mean_J,energy_std_J,energy_sem_J,energy_ci95_low_J,energy_ci95_high_J,edp_J_ms,measurement_type,power_note
mobilenetv3_small,paper_model,5,5,5648,1129.6,2542856,2.542856,226041600,0.226042,452083200,0.452083,4.433345,0.151949,57.175017,0.318847,0.253468718,0.008525889,0.003812894,0.242884125,0.264053311,1.123714223,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
mobilenetv2,paper_model,5,5,5878,1175.6,3504872,3.504872,1203097088,1.203097,2406194176,2.406194,4.255076,0.07168,72.33768,0.550682,0.307780541,0.003982866,0.001781192,0.302835952,0.31272513,1.309629717,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
resnet18,paper_model,5,5,10521,2104.2,11689512,11.689512,7256293376,7.256293,14512586752,14.512587,2.382813,0.03531,97.71264,1.064215,0.232805009,0.001817198,0.000812676,0.230549022,0.235060996,0.554730848,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
tiny_vit_5m,paper_model,5,5,3981,796.2,12082725,12.082725,4661371392,4.661371,9322742784,9.322743,6.289449,0.209914,84.81408,1.48286,0.533212658,0.010182487,0.004553747,0.520571457,0.545853859,3.353613709,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
efficientnet_b0,paper_model,5,5,3676,735.2,5288548,5.288548,1543259008,1.543259,3086518016,3.086518,6.811328,0.169162,69.5388,0.358765,0.473608068,0.009639076,0.004310726,0.461641493,0.485574644,3.225899896,direct_gpu_power_nvidia_smi,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy."
