model,family,backend,batch_size,image_size,n_windows,parsed_windows,total_inferences,inferences_per_window_mean,inferences_per_window_std,energy_mean_J,energy_std_J,energy_sem_J,energy_ci95_low_J,energy_ci95_high_J,latency_mean_ms,latency_std_ms,mean_power_W,mean_power_std_W
global_avg_mlp_tiny,mlp,cpu,4,224,5,5,2296087,459217.4,7544.563,0.00027601,2.5837e-05,1.1555e-05,0.000243934,0.000308086,0.043562,0.000718,6.33016,0.491895
cnn_tiny_2conv,plain_cnn,cpu,4,224,5,5,32247,6449.4,70.653,0.019966426,0.001205732,0.00053922,0.018469552,0.021463301,3.101611,0.033674,6.4355,0.338083
cnn_small_4conv,plain_cnn,cpu,4,224,5,5,18193,3638.6,31.84,0.034081812,0.001494835,0.000668511,0.032226026,0.035937597,5.497775,0.047874,6.19795,0.22549
cnn_medium_6conv,plain_cnn,cpu,4,224,5,5,9819,1963.8,42.476,0.06329034,0.005724725,0.002560175,0.056183295,0.070397386,10.190575,0.220908,6.20602,0.461923
depthwise_small,depthwise_cnn,cpu,4,224,5,5,20951,4190.2,50.677,0.03192009,0.002474854,0.001106788,0.028847645,0.034992534,4.774096,0.058,6.68211,0.439883
depthwise_medium,depthwise_cnn,cpu,4,224,5,5,14319,2863.8,52.756,0.047417789,0.004240897,0.001896587,0.042152864,0.052682714,6.987203,0.131337,6.78038,0.493201
inverted_residual_small,inverted_residual,cpu,4,224,5,5,7036,1407.2,22.41,0.101499804,0.017575389,0.007859953,0.079680575,0.123319033,14.220841,0.23116,7.12324,1.100385
inverted_residual_wide,inverted_residual,cpu,4,224,5,5,3469,693.8,6.099,0.200440638,0.026100544,0.011672518,0.168037728,0.232843549,28.842332,0.247629,6.94884,0.899441
residual_cnn_small,residual_cnn,cpu,4,224,5,5,6266,1253.2,2.95,0.091124335,0.000964698,0.000431426,0.089926696,0.092321974,15.966684,0.038112,5.70715,0.058246
residual_cnn_medium,residual_cnn,cpu,4,224,5,5,3514,702.8,21.265,0.192939587,0.042354861,0.01894167,0.140357512,0.245521662,28.494789,0.898719,6.74025,1.223306
bottleneck_residual,bottleneck_cnn,cpu,4,224,5,5,6448,1289.6,20.635,0.100851181,0.010457315,0.004676654,0.08786879,0.113833571,15.5214,0.248113,6.49055,0.57406
grouped_conv_cnn,grouped_cnn,cpu,4,224,5,5,13645,2729.0,97.124,0.050047628,0.0083287,0.003724708,0.039707839,0.060387418,7.33775,0.272227,6.79602,0.850147
squeeze_expand_cnn,squeeze_cnn,cpu,4,224,5,5,7240,1448.0,53.717,0.088419038,0.020544106,0.009187603,0.062914251,0.113923825,13.831665,0.536018,6.35628,1.181683
convnext_micro,convnext_like,cpu,4,224,5,5,3828,765.6,14.926,0.190168554,0.01676342,0.007496829,0.169357356,0.210979753,26.154358,0.517449,7.26749,0.565643
attention_gate_cnn,attention_cnn,cpu,4,224,5,5,10164,2032.8,22.129,0.062459344,0.009884084,0.004420297,0.0501886,0.074730088,9.843479,0.107489,6.33807,0.932861
patch_mixer_small,mixer,cpu,4,224,5,5,71738,14347.6,235.711,0.009546542,0.000994887,0.000444927,0.008311425,0.01078166,1.394292,0.022845,6.83905,0.60266
patch_mixer_medium,mixer,cpu,4,224,5,5,40340,8068.0,115.711,0.01745212,0.001724406,0.000771178,0.01531133,0.01959291,2.479537,0.03602,7.03179,0.586602
