model,family,repeat,start_utc,end_utc,device,measurement_type,window_seconds_requested,window_seconds_actual,inferences,batch_size,images_processed,latency_ms_per_inference,latency_ms_per_image,mean_power_W,total_window_energy_J,energy_J_per_inference,energy_J_per_image,parsed_power_samples,power_note,raw_power_log,warmup_trials,cooldown_seconds,params,params_M,macs,macs_G,flops,flops_G
resnet18,paper_model,1,2026-05-15T02:26:58.757203+00:00,2026-05-15T02:27:03.979506+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.127358,348,4,1392,14.733788,3.683447,14.305172,73.347744509,0.210769381,0.052692345,29,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_4\raw_power\001_resnet18_repeat1_nvidia-smi.txt,10,2.0,11689512,11.689512,7256293376,7.256293,14512586752,14.512587
mobilenetv3_small,paper_model,1,2026-05-15T02:27:06.187586+00:00,2026-05-15T02:27:11.258498+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.021757,266,4,1064,18.878785,4.719696,8.070769,40.529440266,0.152366317,0.038091579,26,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_4\raw_power\002_mobilenetv3_small_repeat1_nvidia-smi.txt,10,2.0,2542856,2.542856,226041600,0.226042,452083200,0.452083
tiny_vit_5m,paper_model,1,2026-05-15T02:27:13.805852+00:00,2026-05-15T02:27:18.973444+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.144702,157,4,628,32.768801,8.1922,14.31037,73.622588203,0.468933683,0.117233421,27,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_4\raw_power\003_tiny_vit_5m_repeat1_nvidia-smi.txt,10,2.0,12082725,12.082725,4661371392,4.661371,9322742784,9.322743
efficientnet_b0,paper_model,1,2026-05-15T02:27:21.227067+00:00,2026-05-15T02:27:26.245760+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.010267,181,4,724,27.681034,6.920259,13.538182,67.829908311,0.374750875,0.093687719,22,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_4\raw_power\004_efficientnet_b0_repeat1_nvidia-smi.txt,10,2.0,5288548,5.288548,1543259008,1.543259,3086518016,3.086518
mobilenetv2,paper_model,1,2026-05-15T02:27:28.382028+00:00,2026-05-15T02:27:33.477941+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.011448,320,4,1280,15.660775,3.915194,13.99875,70.15400909,0.219231278,0.05480782,24,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_4\raw_power\005_mobilenetv2_repeat1_nvidia-smi.txt,10,2.0,3504872,3.504872,1203097088,1.203097,2406194176,2.406194
mobilenetv3_small,paper_model,2,2026-05-15T02:27:35.535415+00:00,2026-05-15T02:27:40.549061+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.005618,357,4,1428,14.021338,3.505335,9.296087,46.53265741,0.130343578,0.032585895,23,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_4\raw_power\006_mobilenetv3_small_repeat2_nvidia-smi.txt,10,2.0,2542856,2.542856,226041600,0.226042,452083200,0.452083
tiny_vit_5m,paper_model,2,2026-05-15T02:27:43.023703+00:00,2026-05-15T02:27:48.168387+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.141548,154,4,616,33.386672,8.346668,14.273704,73.388925594,0.476551465,0.119137866,27,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_4\raw_power\007_tiny_vit_5m_repeat2_nvidia-smi.txt,10,2.0,12082725,12.082725,4661371392,4.661371,9322742784,9.322743
efficientnet_b0,paper_model,2,2026-05-15T02:27:50.386219+00:00,2026-05-15T02:27:55.388679+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.004219,151,4,604,33.140525,8.285131,12.00087,60.054983095,0.39771512,0.09942878,23,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_4\raw_power\008_efficientnet_b0_repeat2_nvidia-smi.txt,10,2.0,5288548,5.288548,1543259008,1.543259,3086518016,3.086518
resnet18,paper_model,2,2026-05-15T02:27:57.569163+00:00,2026-05-15T02:28:02.700952+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.128754,334,4,1336,15.355552,3.838888,14.145714,72.549894384,0.217215253,0.054303813,28,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_4\raw_power\009_resnet18_repeat2_nvidia-smi.txt,10,2.0,11689512,11.689512,7256293376,7.256293,14512586752,14.512587
mobilenetv2,paper_model,2,2026-05-15T02:28:05.046767+00:00,2026-05-15T02:28:10.049272+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.001532,134,4,536,37.324869,9.331217,9.645455,48.242053422,0.360015324,0.090003831,22,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_batch\batch_4\raw_power\010_mobilenetv2_repeat2_nvidia-smi.txt,10,2.0,3504872,3.504872,1203097088,1.203097,2406194176,2.406194
